epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,0.456522,0.145151,0.969212,0.989011,0.977263,0.976175,06:32
1,0.415648,0.138128,0.969582,0.989714,0.976470,0.976337,06:29
2,0.460089,0.159940,0.969152,0.989423,0.976620,0.976087,06:30
3,0.450260,0.143683,0.969141,0.989246,0.978452,0.976495,06:30
4,0.397219,0.116291,0.969430,0.988683,0.980517,0.977015,06:30
5,0.420108,0.127519,0.968948,0.989087,0.979673,0.976664,06:30
6,0.455705,0.152844,0.969553,0.988931,0.977769,0.976451,06:30
7,0.472486,0.158836,0.969802,0.988197,0.977753,0.976388,06:31
8,0.378690,0.109250,0.969202,0.988888,0.980940,0.977058,06:30
9,0.436141,0.129269,0.970182,0.989002,0.981236,0.977650,06:30
10,0.405354,0.121136,0.968530,0.989515,0.980671,0.976812,06:31
11,0.435575,0.149928,0.968010,0.989250,0.979805,0.976269,06:30
12,0.389639,0.114272,0.967687,0.989238,0.981145,0.976439,06:30
13,0.407032,0.123025,0.969410,0.989640,0.980732,0.977298,06:30
14,0.429496,0.126507,0.968572,0.989529,0.980534,0.976802,06:31
15,0.422531,0.121223,0.969293,0.988954,0.980245,0.976946,06:31
16,0.510759,0.164455,0.968793,0.988431,0.974864,0.975220,06:31
17,0.430098,0.146963,0.969255,0.988792,0.978823,0.976531,06:31
