epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,1.463011,0.352077,0.884112,0.933942,0.897240,0.899852,08:55
1,1.327522,0.335553,0.891566,0.956609,0.929467,0.917302,08:54
2,1.285184,0.259991,0.937444,0.970954,0.937184,0.945756,08:54
3,1.221644,0.254366,0.936295,0.967672,0.951173,0.947858,08:59
4,1.160570,0.245328,0.941533,0.973984,0.947536,0.951147,08:54
5,1.126160,0.222934,0.948397,0.977074,0.958356,0.958056,08:59
6,1.122617,0.253611,0.950062,0.976582,0.961936,0.959661,08:58
7,1.053630,0.224140,0.948207,0.975900,0.960161,0.958119,08:55
