Epoch,training_loss,validation_loss,GRAPHEME_Recall,VOWEL_Recall,CONSONANT_Recall,Final_Recall
0,4.305789170916553,3.168594736961802,0.008866491580817698,0.24781824644534242,0.17218697094579136,0.10943455013819228
1,2.7145883180097203,0.7965289254192334,0.5102453974422675,0.763561035365965,0.8430387948165124,0.6567726562667531
2,1.2846102181633645,0.4264506827209406,0.7164113337553168,0.9024293907513523,0.9288679398477547,0.8160299995274352
3,0.99460920638081,0.3084598780152904,0.792804191173342,0.9332190716664719,0.9320800754472686,0.8627268823651061
4,0.8858911233421153,0.3016908926307965,0.8020198570228759,0.9445163226656601,0.9474058558408712,0.8739904731380709
5,0.8298715267320023,0.2540116614905322,0.8255412226158005,0.950794968025156,0.9526745389330107,0.8886379880474419
6,0.7882444287666236,0.25997993714253237,0.8368316580906925,0.9541096482361476,0.947193761343883,0.8937416814403539
7,0.7574826284667402,0.23671149610761244,0.8360327930902204,0.9492407425677958,0.9507873285326978,0.8930234143202336
8,0.7290806587902686,0.22368275004017885,0.8477000908904748,0.9613976090713553,0.9508607847292211,0.9019146438953816
