Epoch,training_loss,validation_loss,GRAPHEME_Recall,VOWEL_Recall,CONSONANT_Recall,Final_Recall
0,1.8496387291131853,0.2759968255271094,0.8608250585152222,0.9542553317596373,0.9487417161915492,0.9061617912454077
1,1.3703057167920039,0.19876515299480052,0.8922625116749487,0.9613804187744927,0.9600268972219639,0.9264830848365885
2,1.1725884968241795,0.16334473903400862,0.9098808935969872,0.9662352304713596,0.9643051958656644,0.9375755533827497
3,1.0605711728002059,0.15129820504671745,0.9154816487167768,0.9731486105317556,0.9677049452487025,0.9429542133035029
4,0.9879744780107945,0.14847182316128954,0.9167718163629527,0.9627426599782308,0.9666573203561772,0.9407359032650784
5,0.9358449219106298,0.1347673396664964,0.9212190840999742,0.9694084424276584,0.9738326619965111,0.9464198181560295
6,0.9024092015945335,0.12946922018427096,0.925151652160407,0.9760655977003594,0.9676428628130923,0.9485029412085664
7,0.8672128090184861,0.13320084687380457,0.9187315375751208,0.9743370932651044,0.9751748648414452,0.9467437583141978
8,0.8413750966685412,0.12977197676697924,0.9247350968655709,0.9775885806210914,0.9668975599010871,0.9484890835633301
9,0.8200335879972876,0.12230742049666914,0.9284427043807449,0.9757308936917183,0.9763888276225507,0.9522512825189398
10,0.8036648710421027,0.1242622814383897,0.9266118273437648,0.97531184872652,0.9731884114272903,0.950430978710335
11,0.7871875341496947,0.11857234666700618,0.9312724211538639,0.9763866592595281,0.9783325849000907,0.9543160216168366
12,0.7759078953567491,0.11705148152857688,0.931678015935846,0.9777800533369707,0.977930327087916,0.9547666030741447
13,0.7626341168100506,0.11708317872111941,0.9311728823193285,0.9770442075478892,0.9758403676172884,0.9538075849509586
