Epoch,training_loss,validation_loss,GRAPHEME_Recall
0,12.3994599619139,0.5037853459650059,
1,0.4437438314541792,0.42823696216213264,
2,0.42940810156639336,0.426299593919097,
3,0.43142880270114314,0.42910431868655224,
4,0.42913703080536664,0.4344702237425839,
5,0.4280450157696587,0.4277607877318277,
6,0.42678010280980183,0.4250447945451258,
7,0.4262210024871688,0.4261163358504956,
8,0.4252249056114135,0.42568216365715333,
9,0.425471537687308,0.4243093885506276,
10,0.4253463909744286,0.4278700750408364,
11,0.4244726426824678,0.4431932783844479,
12,0.42455973727846624,0.4231338715274198,
13,0.4237229930218247,0.42268895056335426,
14,0.4232172442054004,0.4203693653428834,
15,0.4230813563135821,0.41987109124461147,
16,0.4223121192011413,0.42711124511865467,
17,0.4231386178213617,0.4233980258571663,
18,0.4211871415509561,0.4289416363805433,
19,0.4226531162442704,0.42152976989746094,
20,0.4218342826850172,0.42067294176605635,
21,0.42114718499258075,0.4197744980304935,
22,0.4181536808194657,0.41782401257932783,
23,0.41901640994360084,0.41794623080703325,
24,0.41892626873293315,0.4210610731588957,
25,0.41864806083067335,0.41783117739651915,
26,0.4191176472698964,0.417902609377003,
27,0.4187465889032602,0.41900012574865664,
28,0.4191459968702716,0.4184896447586774,
29,0.4189099165773976,0.4184331634770269,
30,0.4190819309307979,0.41882464140155246,
31,0.41874684194059275,0.41783906753645295,
32,0.41888782953471776,0.4184843542982503,
33,0.4178382796520905,0.4178725897667799,
34,0.4181888168605009,0.4179491862206156,
35,0.4180780178727115,0.4181490459769067,
36,0.4180961036130603,0.41780643239866533,
37,0.41822733622928926,0.417832137449928,
38,0.4182249164435111,0.418094606702543,
39,0.417817769474542,0.4179470948750359,
40,0.4179527044229816,0.41782703078710115,
41,0.4178050451620234,0.41782080748408135,
42,0.4179354689624929,0.4178362428942652,
43,0.4179596340443644,0.4178976769431379,
44,0.41780500125592634,0.41782851472347476,
45,0.41793584853510396,0.4179048332880971,
46,0.4179551517850446,0.418243716891394,
47,0.41787660063774956,0.4178484067270987,
