Epoch,training_loss,validation_loss,GRAPHEME_Recall,VOWEL_Recall,CONSONANT_Recall,Final_Recall
0,1.7108689282118543,0.21495159020192647,0.8814013089413298,0.9660819484207557,0.9542102799439899,0.9207737115618514
1,1.1711365102126845,0.13145785497183785,0.9244493773445543,0.9775125571844349,0.9736152755927681,0.950006646866578
2,1.2918994844358502,0.16972681929833913,0.902166512817685,0.9706358585186229,0.964535601066015,0.934876121305002
3,1.0661150169545326,0.13629927886120452,0.9180325841924178,0.9762024540663421,0.9720647557679406,0.9460830945547797
4,0.9260589590705225,0.11080598194513433,0.9296117140730173,0.9808759474964688,0.9738056583205104,0.9534762584907535
5,0.849650715605471,0.10508099066274222,0.9334643983209986,0.9817237119971367,0.9766850856708641,0.9563343985774995
6,0.9994892231463854,0.13234706225502849,0.9170514936527115,0.9728617073607139,0.9725662371661276,0.9448827329580661
7,0.929940281305026,0.12524104590549517,0.923793051606567,0.9791095275073809,0.9742755054106502,0.9502427840327913
8,0.8698975103621764,0.11782584133181086,0.9284918201712336,0.977046995717826,0.9721813391948523,0.9515529938137863
9,0.8177103416178139,0.10541833167191732,0.9340532391708125,0.9816271125719779,0.9776280936907854,0.9568404211510971
10,0.7754677432104363,0.0990479578572422,0.9370377114443887,0.9823583011687639,0.9809383242737408,0.9593430120828206
11,0.7407694918455487,0.09412392371499219,0.9389924098761218,0.9831137409835369,0.9828975961570461,0.9609990392232066
12,0.7165451119576011,0.09151769110490646,0.9406941751398733,0.9840752944997768,0.982712455118964,0.9620440249746218
13,0.7056950529416403,0.09070737871114028,0.9403400816485697,0.9852879087396336,0.9827954553013988,0.9621908818345429
14,0.8175780801403616,0.11820004083041762,0.9254667531686898,0.9801863009564936,0.9778479853240842,0.9522419481544894
15,0.8025831741300581,0.11124132293896333,0.9297915737836667,0.9794649885955544,0.9764606085507576,0.9538771861784114
16,0.7808151816245306,0.10814738102930047,0.930935410279022,0.9811431328155018,0.9781471806447765,0.9552902835045806
17,0.7616215218668398,0.10657407253058658,0.9344577906814432,0.9810639482210117,0.9769132490527869,0.9567231946591712
18,0.7397716012819687,0.1041767965179921,0.933516523844447,0.981463196161367,0.9795707767294576,0.9570167551449297
19,0.7220986809087304,0.09973741996173675,0.9381374416838645,0.9816119070247851,0.9793900445090716,0.9593192087253963
20,0.7045019383281635,0.10050734787257419,0.935791240609215,0.9820111907628055,0.9833203618448185,0.9592285084565135
21,0.6867338417963839,0.09531430389271134,0.9391531318861924,0.9845080315545591,0.9836603749947733,0.9616186675804294
22,0.6738829764235379,0.09374671281754572,0.9414245627595388,0.9848871719063693,0.9822230627113381,0.9624898400341962
23,0.6583998533196274,0.09144005398686514,0.9431948222875891,0.9834833515132616,0.9793527129025288,0.9623064272477422
24,0.6463510375490689,0.09034677482456169,0.9434140509620424,0.9853092156829321,0.9845737065415019,0.9641777560371297
25,0.6348133257267334,0.09006692479710315,0.9440122439840875,0.9856884946976879,0.9838855304393757,0.9643996282763097
26,0.6273679921825063,0.08969707957104496,0.9457328410472482,0.9837343156195457,0.9852389325505546,0.9651097325661493
27,0.6221633191026307,0.08937000681063702,0.9452324724997052,0.9852874197939299,0.9841328497822434,0.9649713036438959
28,0.6156011653717279,0.08813809460483765,0.9458720849666886,0.9849003487942354,0.9846836756459514,0.965332048593391
29,0.6161303579009895,0.08838347659250068,0.9452646409333573,0.9850431101461518,0.9837150763883314,0.9648218671002994
30,0.6983007730847617,0.10077960130425301,0.9374071421805575,0.9790647042579631,0.9828207176935643,0.9591749265781606
31,0.6977399027799417,0.10977158035123627,0.9293215433894472,0.9812228453980337,0.9810828901385196,0.9552372055788619
32,0.6909870798372505,0.09705268089538036,0.9369561520152925,0.9819878813260466,0.9827232431961934,0.9596558571382062
33,0.6865321920069564,0.10145463835585078,0.934653639616959,0.9808298464567301,0.980319402057467,0.9576141319370288
34,0.6801138410267888,0.09925847557251868,0.9365210804415542,0.9830684507427235,0.9833184460116086,0.9598572644093601
35,0.6726322965478418,0.09796426663281128,0.9339902685472189,0.9842064048987642,0.9832726742539585,0.9588649040617901
36,0.666311668844659,0.09965489891647396,0.9379645877921343,0.9828817583863038,0.9816466752159183,0.9601144022966227
37,0.6572571605144935,0.09892813921174078,0.9386770493299993,0.982663390014234,0.9830223435376091,0.9607599580529604
38,0.6499676553235538,0.09933254393720906,0.9376207966235097,0.9842988732077741,0.9821654285233551,0.9604264737445372
39,0.6446649249115649,0.10043337594804955,0.9402609866218555,0.9835579027588166,0.9833046770357965,0.9618461382595811
40,0.6364307693946056,0.09870901035088858,0.9390573765968625,0.9832821393283157,0.9834554655683384,0.9612130895225948
41,0.6303046193708943,0.09496419832116634,0.9390617632642836,0.9841640803282302,0.9837711701854935,0.9615146942605728
42,0.6232207610522092,0.09711646451536927,0.938170302262092,0.9849084104442002,0.9847636721928787,0.9615031717903157
43,0.6183520128229921,0.09572398173233439,0.9396428533958517,0.9836357680884281,0.9828065570684361,0.9614320079871419
44,0.6107695521485712,0.09539160673135898,0.9444334682966861,0.9849099538031909,0.9856351268038984,0.9648530043001153
45,0.604818348202817,0.09261801274630388,0.9432956913745545,0.9841330226072528,0.9849583325349889,0.9639206844728376
46,0.5990414404982043,0.09355577776974759,0.9408741542460574,0.983778655837365,0.9833134210605505,0.9622100963475075
47,0.5941360412765639,0.09725514085913532,0.9415993632377982,0.9846802999748161,0.9862682171588256,0.9635368109023096
48,0.5879382483636256,0.095000642906239,0.9436413976994604,0.9848277860587539,0.984212162080962,0.9640806858846591
